Date,Close/Last,Volume,Open,High,Low
10/25/2023,$101.43,7081685,$102.70,$103.67,$101.01
10/24/2023,$103.20,6173992,$103.95,$104.46,$102.50
10/23/2023,$103.66,10722580,$102.04,$104.69,$102.01
10/20/2023,$101.85,21831360,$106.99,$107.035,$100.66
10/19/2023,$108.34,7989244,$108.63,$110.22,$108.19
10/18/2023,$108.25,5123946,$108.40,$109.73,$107.86
10/17/2023,$109.04,5261788,$107.58,$109.79,$106.902
10/16/2023,$108.71,5487985,$108.95,$109.59,$108.3116
10/13/2023,$108.25,5882175,$109.19,$109.51,$107.79
10/12/2023,$109.11,6598533,$109.95,$110.92,$108.88
10/11/2023,$109.64,5641686,$109.51,$110.059,$108.83
10/10/2023,$109.71,6910436,$110.21,$111.06,$109.62
10/09/2023,$110.32,6012363,$110.75,$110.97,$109.47
10/06/2023,$109.96,8246950,$107.93,$110.53,$107.58
10/05/2023,$108.35,7651479,$106.97,$108.44,$106.185
10/04/2023,$107.08,8842650,$104.96,$107.30,$104.50
10/03/2023,$104.52,8783327,$106.42,$106.50,$103.54
10/02/2023,$106.71,5963457,$105.81,$106.7347,$105.29
09/29/2023,$105.92,7299109,$107.11,$107.365,$105.38
09/28/2023,$106.15,7373621,$104.03,$106.60,$103.27
09/27/2023,$104.62,8916439,$105.00,$105.2768,$103.35
09/26/2023,$104.88,13209050,$107.14,$107.40,$104.31
09/25/2023,$108.30,8410012,$108.45,$108.65,$107.50
09/22/2023,$109.03,11152050,$109.99,$110.60,$108.51
09/21/2023,$109.43,12653520,$111.51,$112.50,$109.331
09/20/2023,$112.87,8779955,$112.81,$114.6953,$112.46
09/19/2023,$112.77,9536119,$112.475,$113.74,$111.71
09/18/2023,$112.21,11744060,$113.42,$114.465,$111.58
09/15/2023,$113.91,23215010,$114.19,$115.20,$112.50
09/14/2023,$113.66,19849650,$113.50,$115.14,$111.95
09/13/2023,$111.84,27170950,$108.32,$112.94,$108.20
09/12/2023,$109.61,68605750,$112.08,$113.30,$107.30
09/11/2023,$126.71,22155560,$127.02,$127.415,$124.72
09/08/2023,$126.32,10612970,$124.80,$126.69,$124.3475
09/07/2023,$125.09,11864400,$123.83,$125.96,$122.5944
09/06/2023,$124.33,8728483,$123.06,$124.58,$122.73
09/05/2023,$123.98,11089640,$122.44,$124.28,$121.18
09/01/2023,$120.93,6190045,$121.01,$121.69,$120.09
08/31/2023,$120.39,9109806,$121.00,$121.98,$120.12
08/30/2023,$121.12,5601778,$120.72,$121.7363,$120.15
08/29/2023,$120.65,11920540,$120.95,$121.2099,$118.53
08/28/2023,$116.84,4514753,$116.37,$117.71,$115.70
08/25/2023,$116.06,8758141,$112.91,$116.148,$112.74
08/24/2023,$112.91,11995890,$119.68,$119.73,$112.41
08/23/2023,$117.84,16517290,$117.10,$120.45,$112.1098
08/22/2023,$116.54,4961062,$117.51,$117.68,$115.73
08/21/2023,$116.59,5811160,$116.90,$117.35,$115.19
08/18/2023,$116.46,9412775,$114.50,$116.99,$113.95
08/17/2023,$114.88,6183897,$115.74,$116.78,$114.36
08/16/2023,$115.34,5721951,$117.16,$117.81,$115.27
08/15/2023,$117.29,10412160,$115.45,$118.059,$114.84
08/14/2023,$115.57,6494216,$113.18,$115.8062,$113.15
08/11/2023,$113.06,5288879,$112.39,$113.48,$111.13
08/10/2023,$112.99,6004125,$113.78,$115.0948,$112.48
08/09/2023,$113.10,6542427,$115.34,$115.71,$112.33
08/08/2023,$115.23,4694781,$115.04,$115.61,$114.22
08/07/2023,$116.10,7347041,$115.47,$116.38,$115.07
08/04/2023,$114.44,5579319,$115.34,$116.40,$114.255
08/03/2023,$114.55,5215848,$115.24,$116.17,$114.26
08/02/2023,$115.71,6387789,$116.92,$116.98,$114.32
08/01/2023,$117.91,5250652,$116.92,$118.04,$116.475
07/31/2023,$117.23,6708458,$116.43,$117.24,$115.83
07/28/2023,$115.99,6912012,$116.68,$117.30,$115.65
07/27/2023,$116.40,7843027,$117.55,$117.60,$115.64
07/26/2023,$115.50,8159988,$117.42,$117.62,$115.00
